"year","result"
"1400",18
"1403",1
"1409",2
"1411",1
"1425",1
"1433",1
"1435",1
"1445",1
"1450",1
"1451",1
"1456",1
"1459",1
"1469",3
"1470",1
"1472",2
"1475",2
"1476",5
"1477",2
"1478",1
"1479",3
"1480",2
"1481",2
"1482",4
"1483",3
"1484",1
"1485",5
"1486",1
"1487",1
"1488",2
"1489",5
"1490",3
"1491",3
"1492",4
"1493",5
"1494",2
"1495",6
"1496",5
"1497",6
"1498",4
"1499",5
"1500",103
"1501",1
"1502",2
"1503",1
"1504",3
"1505",1
"1506",2
"1507",1
"1508",7
"1509",2
"1510",1
"1511",2
"1512",1
"1513",6
"1514",5
"1515",2
"1516",2
"1517",3
"1518",5
"1519",2
"1520",5
"1521",2
"1522",1
"1523",10
"1524",5
"1525",6
"1526",10
"1527",1
"1528",6
"1529",1
"1530",6
"1531",9
"1532",18
"1533",6
"1534",7
"1535",9
"1536",3
"1537",3
"1538",2
"1539",4
"1540",6
"1541",2
"1542",9
"1543",5
"1544",5
"1545",3
"1546",3
"1547",3
"1548",5
"1549",5
"1550",12
"1551",7
"1552",7
"1553",3
"1554",8
"1555",2
"1556",6
"1557",4
"1558",5
"1559",7
"1560",9
"1561",9
"1562",4
"1563",5
"1564",5
"1565",9
"1566",4
"1567",2
"1568",43
"1569",2
"1570",30
"1571",12
"1572",10
"1573",136
"1574",6
"1575",6
"1576",8
"1577",40
"1578",6
"1579",4
"1580",51
"1581",12
"1582",12
"1583",9
"1584",9
"1585",2
"1586",14
"1587",20
"1588",21
"1589",30
"1590",70
"1591",56
"1592",73
"1593",22
"1594",50
"1595",246
"1596",156
"1597",199
"1598",69
"1599",123
"1600",335
"1601",63
"1602",28
"1603",14
"1604",58
"1605",11
"1606",26
"1607",13
"1608",67
"1609",1059
"1610",7
"1611",22
"1612",30
"1613",64
"1614",10
"1615",14
"1616",191
"1617",65
"1618",23
"1619",519
"1620",18
"1621",10
"1622",94
"1623",1060
"1624",8
"1625",14
"1626",113
"1627",8
"1628",6
"1629",22
"1630",19
"1631",27
"1632",44
"1633",538
"1634",251
"1635",64
"1636",9
"1637",45
"1638",75
"1639",21
"1640",279
"1641",16
"1642",20
"1643",1
"1644",37
"1645",136
"1646",158
"1647",2016
"1648",2648
"1649",112
"1650",49
"1651",313
"1652",207
"1653",93
"1654",19
"1655",76
"1656",80
"1657",162
"1658",44
"1659",109
"1660",37
"1661",46
"1662",60
"1663",11
"1664",34
"1665",263
"1666",85
"1667",154
"1668",118
"1669",95
"1670",304
"1671",112
"1672",111
"1673",206
"1674",73
"1675",92
"1676",84
"1677",98
"1678",96
"1679",78
"1680",30
"1681",157
"1682",186
"1683",125
