year,result
1878,1
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,1
1888,2
1889,1
1890,4
1891,8
1892,8
1893,2
1894,91
1895,105
1896,619
1897,1178
1898,1400
1899,1547
1900,1682
1901,1515
1902,1693
1903,2499
1904,1758
1905,1608
1906,1710
1907,2185
1908,4078
1909,4799
1910,5647
1911,6137
1912,7633
1913,8402
1914,8499
1915,7562
1916,5155
1917,3867
1918,2840
1919,2779
1920,3270
1921,2793
1922,2546
1923,2305
1924,2624
1925,2765
1926,2937
1927,2939
1928,3196
1929,3489
1930,3286
1931,3387
1932,3048
1933,3063
1934,3429
1935,3543
1936,3819
1937,3891
1938,3681
1939,3510
1940,3602
1941,3531
1942,3608
1943,3429
1944,3079
1945,3001
1946,3160
1947,3004
1948,3434
1949,4047
1950,4632
1951,5196
1952,5138
1953,5605
1954,11217
1955,7298
1956,15277
1957,8074
1958,8104
1959,9155
1960,7777
1961,7910
1962,7611
1963,7979
1964,13395
1965,8787
1966,9846
1967,12686
1968,9598
1969,10968
1970,11212
1971,9566
1972,10332
1973,10552
1974,11165
1975,11674
1976,13467
1977,14974
1978,13633
1979,13332
1980,14052
1981,14517
1982,20557
1983,15951
1984,17049
1985,20610
1986,19002
1987,21081
1988,19934
1989,22055
1990,20687
1991,21860
1992,21401
1993,21434
1994,21108
1995,28394
1996,26381
1997,28174
1998,31517
1999,31309
2000,37401
2001,38634
2002,37890
2003,39324
2004,42564
2005,45791
2006,51383
2007,56846
2008,60094
2009,64399
2010,74466
2011,82535
2012,78252
2013,80830
2014,82882
2015,83901
2016,90155
2017,84854
2018,73665
