"year","result"
1,9370
2,0
3,8
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,2
17,0
18,0
19,0
20,3
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,2
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,2
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,0
88,2
89,0
90,2
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,4
99,1
100,246
101,0
102,0
103,1
104,0
105,1
106,9
107,1
108,0
109,0
110,2
111,1
112,0
113,0
114,0
115,0
116,0
117,3
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,3
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,1
137,1
138,7
139,1
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,2
151,0
152,0
153,0
154,1
155,0
156,0
157,1
158,8
159,0
160,0
161,14
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,2
182,2
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,2
197,0
198,4
199,0
200,173
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,1
211,0
212,6
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,3
221,0
222,4
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,3
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,60
301,0
302,1
303,0
304,0
305,0
306,2
307,1
308,0
309,0
310,0
311,3
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,2
332,3
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,85
401,2
402,0
403,0
404,2
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,33
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,0
597,0
598,0
599,0
600,98
601,2
602,0
603,0
604,2
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,2
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,2
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,2
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
